public_id,year,permit_number,permit_type
3134025,2020,10464,Food Fish/Crustacea Dealer/Shipper
3134029,2020,1923,Party/Charter Boat
3134031,2020,10651,Food Fish/Crustacea Dealer/Shipper
3134037,2020,10653,Food Fish/Crustacea Dealer/Shipper
3134037,2020,1925,Party/Charter Boat
3134051,2020,178,Party/Charter Boat
3134068,2020,1433,Whelk - Resident
3134068,2020,4073,Horseshoe Crab - Resident
3134068,2020,4073,Crab - Resident
3134073,2020,139,Party/Charter Boat
3134083,2020,212,Gill Net - Resident
3134090,2020,1932,Party/Charter Boat
3134102,2020,228,Gill Net - Resident
3134102,2020,464,Scoop Dip Scap up to 10 ft sq
3134109,2020,2169,Party/Charter Boat
3134110,2020,123,Food Fish - Resident
3134118,2020,162,Food Fish - Resident
3134118,2020,171,Horseshoe Crab - Resident
3134118,2020,171,Crab - Resident
3134121,2020,4055,Horseshoe Crab - Resident
3134121,2020,4055,Crab - Resident
3134121,2020,5583,Food Fish - Resident
3134154,2020,1947,Party/Charter Boat
3134154,2020,2644,Party/Charter Boat
3134168,2020,10672,Food Fish/Crustacea Dealer/Shipper
3134178,2020,2103,Party/Charter Boat
3134178,2020,5626,Food Fish - Resident
3134191,2020,10674,Food Fish/Crustacea Dealer/Shipper
3134196,2020,220,Gill Net - Resident
3134196,2020,452,Scoop Dip Scap up to 10 ft sq
3134208,2020,10485,Food Fish/Crustacea Dealer/Shipper
3134234,2020,10801,Food Fish/Crustacea Dealer/Shipper
3134244,2020,5644,Food Fish - Resident
3134261,2020,1962,Party/Charter Boat
3134266,2020,1963,Party/Charter Boat
3134313,2020,1976,Party/Charter Boat
3134382,2020,373,Food Fish - Resident
3134387,2020,1013,Food Fish - Resident
3134387,2020,1013,Alternate Vessel
3134429,2020,9061,Food Fish/Crustacea Dealer/Shipper
3134454,2020,1986,Party/Charter Boat
3134458,2020,1987,Party/Charter Boat
3134468,2020,201455,Food Fish Landing
3134468,2020,5667,Food Fish - Resident
3134503,2020,1233,Food Fish - Resident
3134503,2020,5638,Lobster - Resident
3134503,2020,614,Crab - Resident
3134509,2020,10703,Food Fish/Crustacea Dealer/Shipper
3135373,2020,11264,Food Fish/Crustacea Dealer/Shipper
3135573,2020,2434,Crab - Resident
3135573,2020,773,Food Fish - Resident
3136057,2020,1424,Whelk - Resident
3136057,2020,4007,Horseshoe Crab - Resident
3136057,2020,4007,Crab - Resident
3136057,2020,5535,Food Fish - Resident
3136315,2020,231,Gill Net - Resident
3136473,2020,232,Gill Net - Resident
3136619,2020,10885,Food Fish/Crustacea Dealer/Shipper
3136633,2020,233,Gill Net - Resident
3136713,2020,2003,Party/Charter Boat
3136877,2020,201693,Food Fish Landing
3137175,2020,295,Gill Net - Resident
3137175,2020,395,Scoop Dip Scap up to 10 ft sq
3137273,2020,2013,Party/Charter Boat
3137393,2020,1079,Food Fish - Resident
3137393,2020,2445,Party/Charter Boat
3137836,2020,2023,Party/Charter Boat
3137893,2020,273,Gill Net - Resident
3138300,2020,2030,Party/Charter Boat
3138313,2020,2031,Party/Charter Boat
3138395,2020,2067,Party/Charter Boat
3138513,2020,10730,Food Fish/Crustacea Dealer/Shipper
3138515,2020,10731,Food Fish/Crustacea Dealer/Shipper
3138554,2020,2583,Food Fish - Resident
3138573,2020,5593,Food Fish - Resident
3138637,2020,2581,Party/Charter Boat
3138655,2020,2038,Party/Charter Boat
3138913,2020,2039,Party/Charter Boat
3139033,2020,242,Gill Net - Resident
3139313,2020,10734,Food Fish/Crustacea Dealer/Shipper
3139498,2020,2044,Party/Charter Boat
3139963,2020,201672,Food Fish Landing
3139963,2020,2048,Party/Charter Boat
3140715,2020,3615,Food Fish - Resident
3140953,2020,10894,Food Fish/Crustacea Dealer/Shipper
3141233,2020,10872,Food Fish/Crustacea Dealer/Shipper
3141353,2020,1052,Crab - Resident
3141353,2020,1072,Whelk - Resident
3141353,2020,2031,Food Fish - Resident
